Entry Date,ID,Exit Date,Pages Viewed,Conversion
2015-02-12 08:26:40,2879140280168605696,2015-02-12 08:27:02,1,No
2015-01-03 20:32:20,8190400772754821120,n/a,10,Yes
2015-02-27 19:18:52,1181188586775138304,2015-02-27 19:21:37,10,No
2015-02-23 08:11:59,8867557309028847616,n/a,7,No
2015-02-04 10:53:29,3464410699907304448,n/a,15,Yes
2015-02-24 16:27:52,7397930753637296128,2015-02-24 16:28:28,1,No
2015-01-26 09:29:19,1211951046427572224,2015-01-26 09:29:36,1,No
2015-02-04 20:17:16,5716595811576184832,2015-02-04 20:18:48,9,No
2015-02-04 21:06:25,5040099818564723712,2015-02-04 21:07:27,3,No
2015-02-11 20:37:18,3072198575569785856,2015-02-11 20:39:57,6,No
2015-02-14 18:25:49,1624140491647774720,2015-02-14 18:25:49,1,No
2015-01-25 12:38:10,4773799204570086400,2015-01-25 12:38:13,1,No
2015-02-16 16:34:12,7437171820418392064,2015-02-16 16:38:01,6,No
2015-02-10 19:30:28,3206678947043326976,2015-02-10 19:30:32,1,No
2015-02-08 15:17:06,2596776666102134784,2015-02-08 15:19:20,10,No
2015-01-23 12:16:23,1869141544571694080,n/a,1,No
2015-02-09 16:48:48,1594293773675167744,2015-02-09 16:48:56,1,No
2015-01-01 20:15:59,1846758756685290496,2015-01-01 20:16:03,1,No
2015-01-21 08:14:44,57999478008957952,2015-01-21 08:14:50,1,No
2015-01-14 09:30:36,5089648265386393600,2015-01-14 09:30:43,1,No
2015-01-28 17:18:33,3123189084137102336,2015-01-28 17:19:48,1,No
2015-01-16 19:02:04,8401005274021061632,2015-01-16 19:02:16,1,No
2015-02-07 20:00:21,8249156030109079552,2015-02-07 20:03:16,3,No
2015-02-25 21:36:30,6554190867239250944,2015-02-25 21:39:27,8,No
2015-02-19 17:43:17,8856096156053279744,2015-02-19 17:43:37,1,No
2015-02-04 21:03:19,4047372035012201472,2015-02-04 21:05:05,5,No
2015-02-19 19:25:04,568073070660472832,2015-02-19 19:28:09,5,No
2015-02-25 20:08:01,270509792004162560,2015-02-25 20:09:26,5,Yes
2015-01-14 13:04:04,8731249151529672704,2015-01-14 13:06:43,6,No
2015-01-31 21:20:47,4137911009859415040,n/a,5,No
2015-02-22 12:34:12,4222370394893702144,2015-02-22 12:34:27,1,No
2015-02-22 17:57:58,3323244541706955776,2015-02-22 18:00:32,4,No
2015-02-18 22:00:15,4660813577538695168,2015-02-18 22:00:16,1,No
2015-01-04 11:01:40,2930075790755837952,2015-01-04 11:03:19,5,No
2015-02-17 20:52:29,8670505834667841536,2015-02-17 20:54:54,5,No
2015-01-10 08:37:05,1699321840639039488,2015-01-10 08:37:18,1,No
2015-02-27 22:47:52,6102285891513621504,2015-02-27 22:48:04,1,No
2015-02-18 09:11:42,3936889162240921600,2015-02-18 09:13:26,4,No
2015-01-09 11:24:43,6220129939322277888,2015-01-09 11:26:13,2,No
2015-01-22 14:17:20,5593309207597313024,2015-01-22 14:18:23,9,No
2015-01-05 11:01:50,2327388954564925440,2015-01-05 11:03:53,7,No
2015-01-04 14:51:52,6258447865409080320,2015-01-04 14:52:08,1,No
2015-01-04 15:34:21,4375368543458847744,2015-01-04 15:35:36,2,No
2015-01-24 08:56:41,975546810328303616,2015-01-24 09:04:03,1,No
2015-01-04 16:00:58,3187642473725094912,2015-01-04 16:01:10,1,No
2015-01-17 22:16:47,5387719749665157120,2015-01-17 22:23:34,2,No
2015-02-03 13:15:00,5199173968369768448,2015-02-03 13:22:15,5,No
2015-01-14 16:03:08,1078513266012249088,2015-01-14 16:03:20,1,No
2015-01-28 11:47:42,1621569886401162240,2015-01-28 11:48:12,1,No
2015-01-25 12:17:11,4814511581501537280,n/a,2,No
